primary_language,languages,repo_owner,repo_name,repo_full_name,repo_topics,issue_number,title,body,labels,num_comments,assignees,participants,has_gfi_label,created_at,updated_at,days_open,url,newcomer_score
Rust,Rust:55.2%; TypeScript:30.9%; C++:7.9%; Shell:2.4%; CMake:1%; RenderScript:0.4%; Ruby:0.4%; Java:0.3%; Kotlin:0.3%; Objective-C++:0.3%; Python:0.3%; JavaScript:0.2%; NASL:0.2%; C:0.2%,jhugman,uniffi-bindgen-react-native,jhugman/uniffi-bindgen-react-native,bindgen; react-native; rust-lang,306,`async` and `public` are swapped in the typescript bindings,"### Usage - Use Rust with uniffi for a website (no react or other frameworks) ### Problem - The generated bindings contain `async public method(...)`, which is not valid typescript. ### Ideas for Solutions - remove the `public` from the template (I think typescript uses public by default) - change the keyword order ### Minimal example #### Rust ```rust uniffi::setup_scaffolding!(); #[derive(Debug, uniffi::Object)] pub struct Factory {} #[uniffi::export] impl Factory { #[uniffi::constructor] pub ",good first issue,3,0,2,True,2025-09-26,2025-10-20,24,https://github.com/jhugman/uniffi-bindgen-react-native/issues/306,0.964
JavaScript,JavaScript:99.4%; CSS:0.6%,lindelwa122,dom-wizard,lindelwa122/dom-wizard,javascript; javascript-framework; javascript-library; npm-package; webpack; hacktoberfest,62,store.registerReducers,"# store.registerReducers The `store` has been updated with a new structure and additional features to more closely resemble how **Redux** works. Please note that you must **not** delete anything from `modules/store.js`; instead, you should **add** new functionality. This ensures forward compatibility, as older methods of using the store may be deprecated in future releases. You should also create a new store constant. The name of this variable is up to you, but it should clearly represent the da",enhancement; help wanted; good first issue; hacktoberfest-accepted,2,2,3,True,2025-10-15,2025-10-20,5,https://github.com/lindelwa122/dom-wizard/issues/62,0.964
JavaScript,JavaScript:97.3%; HTML:1.7%; CSS:1.1%,palchhinparihar,WordWizard,palchhinparihar/WordWizard,hacktoberfest; hacktoberfest-accepted; hactoberfest2025,27,Improve transition effects between themes and adding a wider selection of colors,"Currently switching between themes has loading issues, I propose fixing the transition effects and adding a wider range of colors to the selection alongside plain dark mode which currently is purple instead of black.",good first issue; hacktoberfest; hacktoberfest2025,3,1,2,True,2025-10-19,2025-10-20,1,https://github.com/palchhinparihar/WordWizard/issues/27,0.964
JavaScript,JavaScript:99.7%; HTML:0.2%; CSS:0.1%,Bavanetha27,Refixly,Bavanetha27/Refixly,firebase-auth; gssoc25; opensource; reactjs; tailwindcss; mern-stack; ar,125,[Feature] - Missing Navigation menu for smaller screens,"## 🧠 Missing Navigation Menu on smaller Screens Without Navigating items or menu, it is difficult for users to navigate throughout the website and may result bad UX. While, most users access websites from mobile devices, so it is important to add this feature and this will surely contribute to improve UX. ## 💡 Why Is This Feature Needed? This is essential for navigation to different pages which can contribute enhance UX and UI. ## 🖼️ Mockups / Visuals <img width=""408"" height=""630"" alt=""Image"" sr",enhancement; good first issue; gssoc25; level2,1,1,2,True,2025-10-16,2025-10-20,4,https://github.com/Bavanetha27/Refixly/issues/125,0.963
Go,Go:85.6%; Gherkin:10.3%; Yacc:1.3%; PLpgSQL:1.1%; Shell:0.5%; Makefile:0.5%; Dockerfile:0.4%; Ragel:0.2%; HCL:0.1%,pg-sharding,spqr,pg-sharding/spqr,go; postgresql; sharding; pooler; proxy,1622,`SHOW version` is missing commit counter,When are you connecting to the SPQR Console: **Actual:** ``` spqr-console=> show version; SPQR version ---------------- 2.7.1-61e9e1eb (1 row) ``` **Expected:** ``` spqr-console=> show version; SPQR version ---------------- 2.7.1-1696-61e9e1eb (1 row) ```,bug; enhancement; good first issue,0,0,1,True,2025-10-20,2025-10-20,0,https://github.com/pg-sharding/spqr/issues/1622,0.963
Java,Java:97.4%; Shell:1.7%; FreeMarker:0.8%; Dockerfile:0.1%,kroxylicious,kroxylicious,kroxylicious/kroxylicious,apache-kafka; java; kafka; proxy,1191,Reuse record batch transform module (#1147) in kroxylicious-sample filters,The kroxylicious-sample module has a bespoke [`SampleFilterTransformer`](https://github.com/kroxylicious/kroxylicious/blob/main/kroxylicious-sample/src/main/java/io/kroxylicious/sample/util/SampleFilterTransformer.java) which does a find-and-replace transformation of record values in a batch based on the filter config. This could be replaced at least in part by the record transform module introduced in #1147 ,kind/enhancement; good first issue; triaged,3,0,4,True,2024-05-08,2025-10-20,530,https://github.com/kroxylicious/kroxylicious/issues/1191,0.963
Go,Go:97.5%; TypeScript:0.7%; Shell:0.6%; Python:0.5%; Makefile:0.3%; Typst:0.3%; JavaScript:0.1%,flexprice,flexprice,flexprice/flexprice,billing; clickhouse; events; go; kafka; postgresql; pricing; usage-based-pricing; stripe; stripe-subscriptions,561,Refactor feature usage tracking service,### GOAL: The current `internal/service/feature_usage_tracking.go` service can be optimized.,enhancement; good first issue; go,3,1,3,True,2025-09-23,2025-10-20,27,https://github.com/flexprice/flexprice/issues/561,0.963
Rust,Rust:100%,near,threshold-signatures,near/threshold-signatures,,165,Audit: Add the tweak in the rerandomization HKDF function,GS21 mentions heuristical approach to generate the rerandomization string rho for ECDSA scheme and prevent Wagner attack. Our current version does not include the tweak (key derivation computed scalar) and the auditors believe it is good to integrate it in the HKDF function that generates the rerandomization string. Acceptance Criteria: * Modify the code to add the tweak in the rerandomization generation.,good first issue; Security improvement,0,0,1,True,2025-10-20,2025-10-20,0,https://github.com/near/threshold-signatures/issues/165,0.962
Jupyter Notebook,Jupyter Notebook:100%,Haryaksh1,ai-humanizers,Haryaksh1/ai-humanizers,ai; hacktoberfest; nlp; open-source; python; text-processing; good-first-issue,4,Improve grammar & readability scoring and integrate into evaluation,## Summary Enhance the current scoring pipeline to provide more reliable grammar/readability measures for the humanized outputs. ## Deliverables - Script or module `scoring/` that exposes `score_text(text)` returning: - readability_score (float) - grammar_issues_count (int) - simple fluency score (optional) - Add tests or examples showing the new scores for Balanced vs Aggressive outputs ## Acceptance criteria - `score_text` is documented and used by `evaluation/evaluate.py` - README shows how s,good first issue; Hacktoberfest; Python,0,0,1,True,2025-10-20,2025-10-20,0,https://github.com/Haryaksh1/ai-humanizers/issues/4,0.961
Java,Java:71.8%; Vue:19%; TypeScript:6.2%; JavaScript:1.3%; SCSS:0.7%; Shell:0.4%; PLpgSQL:0.2%; Makefile:0.1%; Python:0.1%,kestra-io,kestra,kestra-io/kestra,orchestration; data-orchestration; high-availability; infrastructure-as-code; lowcode; automation; devops; java; low-code; pipeline,9553,Fix editor validation for date-based properties like scheduleDate in a Subflow task,"### Describe the issue @Ben8t this might be a duplicate issue FYI ```yaml id: repro namespace: company.team tasks: - id: sleep type: io.kestra.plugin.core.flow.Subflow namespace: company.team flowId: child scheduleDate: ""{{ now() | dateAdd(2, 'MINUTES') }}"" ``` ![Image](https://github.com/user-attachments/assets/1e396522-e779-4b52-912d-24dc5915ddc1) ### Environment - Kestra Version: develop ",bug; area/frontend; good first issue,8,0,4,True,2025-06-16,2025-10-20,126,https://github.com/kestra-io/kestra/issues/9553,0.961
Ruby,Ruby:100%,sanger,jsonapi-resources,sanger/jsonapi-resources,,7,Update instances of unprocessable_entity to conform to rack,**Describe the Housekeeping** s a developer (Ben) I would like to update instances of unprocessable_entity to unprocessable_content to conform to Rack. Currently we get warning messages when running rspec locally related to json-api-resources unprocessble_entity deprecation warnings. You should also update traction-ui references to unprocessable entity to unprocessable content if related. To consider this complete there should be no warnings for unprocessable entity deprecation in the rspec test,good first issue; Size - S,0,0,1,True,2025-10-20,2025-10-20,0,https://github.com/sanger/jsonapi-resources/issues/7,0.961
C#,C#:99.7%; PowerShell:0.1%; Shell:0.1%,Testably,Testably.Abstractions,Testably/Testably.Abstractions,,877,Map actual directories in MockFileSystem,"Greetings. Is there a way to make a part of a `MockFileSystem` point to an actual directory / file? In our scenario we need to be able to read (not write) some actual files which are bundled with the application (mostly images and templates) while still mocking the rest. A way I can think of is reading the target directory and mapping all of it manually when initialising the `MockFileSystem`, but I wonder if there is some built-in method / shortcut for this.",enhancement; good first issue,2,0,2,True,2025-10-02,2025-10-20,18,https://github.com/Testably/Testably.Abstractions/issues/877,0.96
Python,Python:69.9%; HTML:17.7%; TypeScript:8.7%; Shell:1.6%; JavaScript:1.2%; CSS:0.5%; SCSS:0.4%; Nix:0.1%,digitalfabrik,integreat-cms,digitalfabrik/integreat-cms,django; cms-django; cms; e-government; refugees; newcomers; integreat; integration; python3; headless-cms,3943,Support POI time zones for opening hours,"### Describe the Bug <!-- A clear and concise description of what the bug is. --> Currently, `timeSlots` in `opening_hours` assumes that opening hours are always in the user’s local time. This works if the user is physically at the POI, but it fails if the user views POIs in different time zones. As a result, the system cannot reliably show if a POI is open when browsing remotely. ### Expected Behavior <!-- A clear and concise description of what you expected to happen. --> Each timeslot should ",bug; good first issue,3,0,5,True,2025-10-13,2025-10-20,7,https://github.com/digitalfabrik/integreat-cms/issues/3943,0.959
Python,Python:99.4%; HTML:0.4%; JavaScript:0.1%; CSS:0.1%,sumanth-0,100LinesOfPythonCode,sumanth-0/100LinesOfPythonCode,absolute-beginners; hacktoberfest-accepted; hacktoberfest-starter; hacktoberfest2024; collaborate; hacktoberfest; hacktoberfest2025,1278,Folder Backup Maker,Zip and save a backup copy of selected folders.,good first issue; hacktoberfest,0,0,1,True,2025-10-20,2025-10-20,0,https://github.com/sumanth-0/100LinesOfPythonCode/issues/1278,0.959
,,OpenMandrivaAssociation,distribution,OpenMandrivaAssociation/distribution,openmandriva; openmandriva-lx; linux; distribution,3368,[Package Request] Deskflow,Official package name: Deskflow License (must be an OSI approved Open Source license): GPL2.0 Link to package source repository: www.github.com/deskflow/deskflow Download URL of latest release: https://github.com/deskflow/deskflow/releases Latest release date (must be recent): The last stable (v1.24.0) was released September 2025 Description: Deskflow allows you to control several computers using one keyboard and mouse. It is the upstream project for other projects like synergy and input-leap. ,good first issue; package-request,7,1,3,True,2025-10-07,2025-10-20,13,https://github.com/OpenMandrivaAssociation/distribution/issues/3368,0.959
C#,C#:64.1%; PLpgSQL:22.6%; JavaScript:11.9%; Bru:1%; HTML:0.2%; Shell:0.2%,Altinn,altinn-notifications,Altinn/altinn-notifications,,1039,Investigate and handle Link Mobility 504 Gateway Timeout errors in SMS integration,## Description We have observed 4 `LinkMobility.PSWin.Client.SendMessageException` errors in Azure Application Insights related to the SMS service. The exceptions indicate that the Link Mobility Gateway endpoint returned a **504 Gateway Timeout**. ### Details * **Slack message:** https://digdir.slack.com/archives/C079U3JR9DF/p1758114341356809 * **Date and time:** 17.09.2025 - between 12:59:27.068 PM and 1:00:06.097 PM (UTC) * **Application Insights query:** ``` exceptions | where cloud_RoleName ,kind/analysis; good first issue,3,2,3,True,2025-09-18,2025-10-20,32,https://github.com/Altinn/altinn-notifications/issues/1039,0.959
PHP,PHP:98%; Twig:1.6%; CSS:0.2%; JavaScript:0.1%; HTML:0.1%,symfony,symfony,symfony/symfony,framework; php; symfony; symfony-bundle; bundle; php-framework; hacktoberfest,51897,Missing translations for Burmese (my),"Hello, There are some translation work needed for Burmese (my) and we are looking for a **native** speaker to help us out. Here is a [short example](https://symfony-translations.nyholm.tech/#pr) of what you need to do. There are 4 rules: 1. You must be a Burmese (my) native speaker 2. You must look at the existing translations and follow the same ""style"" or ""tone"" 3. You must make your PR to branch 6.4 4. You must use the correct indentation (number of spaces) These are the files that should be ",Good first issue; Help wanted; Missing translations,1,0,2,True,2023-10-09,2025-10-20,742,https://github.com/symfony/symfony/issues/51897,0.959
Kotlin,Kotlin:94.7%; Python:5.3%,ETOofficial,MCSS,ETOofficial/MCSS,,1,玩家列表：玩家重复显示,,bug; good first issue; 🟦️ 中,0,1,1,True,2025-10-20,2025-10-20,0,https://github.com/ETOofficial/MCSS/issues/1,0.959
Rust,Rust:84%; Dockerfile:6.3%; Assembly:4.4%; Makefile:3.1%; Linker Script:1.3%; Shell:1%,comix-kernel,comix,comix-kernel/comix,,20,[chore] 在容器内安装ssh,现在开发容器内没有用于git的ssh工具，装一个,good first issue; P-High; T-Chore,0,0,2,True,2025-10-20,2025-10-20,0,https://github.com/comix-kernel/comix/issues/20,0.959
Go,Go:76.4%; HTML:23.4%; Makefile:0.1%,unleaktrade,waitlist,unleaktrade/waitlist,,6,GitHub workflow,Update and Refresh existing devops pipeline ,enhancement; good first issue; help wanted,0,0,1,True,2025-10-20,2025-10-20,0,https://github.com/unleaktrade/waitlist/issues/6,0.959
Python,Python:99.4%; HTML:0.4%; JavaScript:0.1%; CSS:0.1%,sumanth-0,100LinesOfPythonCode,sumanth-0/100LinesOfPythonCode,absolute-beginners; hacktoberfest-accepted; hacktoberfest-starter; hacktoberfest2024; collaborate; hacktoberfest; hacktoberfest2025,1327,Fake Review Generator,Generate fake product reviews using random adjectives and nouns.,good first issue; hacktoberfest,0,0,1,True,2025-10-20,2025-10-20,0,https://github.com/sumanth-0/100LinesOfPythonCode/issues/1327,0.959
Python,Python:99.4%; HTML:0.4%; JavaScript:0.1%; CSS:0.1%,sumanth-0,100LinesOfPythonCode,sumanth-0/100LinesOfPythonCode,absolute-beginners; hacktoberfest-accepted; hacktoberfest-starter; hacktoberfest2024; collaborate; hacktoberfest; hacktoberfest2025,1304,Haiku Writer,Generate random Haikus using a small word bank.,good first issue; hacktoberfest,0,0,1,True,2025-10-20,2025-10-20,0,https://github.com/sumanth-0/100LinesOfPythonCode/issues/1304,0.959
Python,Python:99.4%; HTML:0.4%; JavaScript:0.1%; CSS:0.1%,sumanth-0,100LinesOfPythonCode,sumanth-0/100LinesOfPythonCode,absolute-beginners; hacktoberfest-accepted; hacktoberfest-starter; hacktoberfest2024; collaborate; hacktoberfest; hacktoberfest2025,1293,Poem Generator,Randomly generate a short poem using stored word templates.,good first issue; hacktoberfest,0,0,1,True,2025-10-20,2025-10-20,0,https://github.com/sumanth-0/100LinesOfPythonCode/issues/1293,0.959
Python,Python:99.4%; HTML:0.4%; JavaScript:0.1%; CSS:0.1%,sumanth-0,100LinesOfPythonCode,sumanth-0/100LinesOfPythonCode,absolute-beginners; hacktoberfest-accepted; hacktoberfest-starter; hacktoberfest2024; collaborate; hacktoberfest; hacktoberfest2025,1284,Random Password Vault,Create a small local password manager using encrypted storage.,good first issue; hacktoberfest,0,0,1,True,2025-10-20,2025-10-20,0,https://github.com/sumanth-0/100LinesOfPythonCode/issues/1284,0.959
Java,Java:95%; Scala:4.5%; HTML:0.3%; Shell:0.1%,newrelic,newrelic-java-agent,newrelic/newrelic-java-agent,telemetry-java,1872,Add a configuration option to support spring transaction naming with Controller Class Name + Method,Provide a config option to name all Spring Transaction based on `ControllerClassName.MethodName` instead of using the request mappings. This is to help resolve Spring Controller URI naming schemes of which we decided [not to support](https://github.com/newrelic/newrelic-java-agent/issues/126) (for reasons such as preventing too many transaction names or security concerns). ,good first issue; 2; feature request; low priority,1,1,4,True,2024-04-24,2025-10-20,544,https://github.com/newrelic/newrelic-java-agent/issues/1872,0.959
Go,Go:91.9%; Starlark:2.8%; HCL:2.5%; Earthly:1.1%; Python:0.5%; Shell:0.5%; Smarty:0.3%; Just:0.3%,zapier,kubechecks,zapier/kubechecks,argocd; cicd; kubernetes,369,Skip diff for CRDs,Is it possible to skip showing diff for CustomResourceDefinitions? ,enhancement; good first issue; help wanted; Stale,0,0,2,True,2025-02-17,2025-10-20,245,https://github.com/zapier/kubechecks/issues/369,0.959
Jupyter Notebook,Jupyter Notebook:100%,Haryaksh1,ai-humanizers,Haryaksh1/ai-humanizers,ai; hacktoberfest; nlp; open-source; python; text-processing; good-first-issue,5,Add Streamlit/Gradio web UI for selecting & running the two humanizers,"## Summary Provide a minimal CLI and a simple Flask API so other developers can integrate the humanizers easily. ## Deliverables - `cli/humanize_cli.py` with usage: `python humanize_cli.py --model balanced --input ""..."" --output out.txt` - `api/app.py` (Flask or FastAPI) with endpoints: - `POST /humanize` body: { ""model"": ""balanced|aggressive"", ""text"": ""..."" } - returns JSON with `humanized_text` - README sections for CLI and API usage ## Acceptance criteria - CLI runs locally and writes humaniz",good first issue; Hacktoberfest; Python,0,0,1,True,2025-10-20,2025-10-20,0,https://github.com/Haryaksh1/ai-humanizers/issues/5,0.958
TypeScript,TypeScript:58.8%; Svelte:34%; JavaScript:3.4%; CSS:2.8%; HTML:1%,QuadballScorekeeper,quadball-scorekeeper,QuadballScorekeeper/quadball-scorekeeper,,44,Use icons instead of text in game events view,"When showing game events that happened, instead of saying e.g. ""goal"", an image of a ball would give the same information more quickly in a nicer way. Maybe not for timeout? But cards and goals should at least be done this way",good first issue; frontend,0,0,1,True,2025-10-20,2025-10-20,0,https://github.com/QuadballScorekeeper/quadball-scorekeeper/issues/44,0.958
Python,Python:99.4%; HTML:0.4%; JavaScript:0.1%; CSS:0.1%,sumanth-0,100LinesOfPythonCode,sumanth-0/100LinesOfPythonCode,absolute-beginners; hacktoberfest-accepted; hacktoberfest-starter; hacktoberfest2024; collaborate; hacktoberfest; hacktoberfest2025,1276,PDF Splitter,Split a PDF file into individual pages using PyPDF2.,good first issue; hacktoberfest,0,0,1,True,2025-10-20,2025-10-20,0,https://github.com/sumanth-0/100LinesOfPythonCode/issues/1276,0.958
Python,Python:99.8%; Dockerfile:0.1%; Shell:0.1%,ral-facilities,inventory-management-system-api,ral-facilities/inventory-management-system-api,,564,Unify error messages that mention IDs,"Right now we have a slightly different structure to our error messages in different places e.g: - `f""No catalogue category found with ID: {parent_id}""` - `Catalogue category with ID {catalogue_category_id} has child elements and cannot be deleted` - `f""Manufacturer with ID '{str(manufacturer_id)}' is part of a catalogue item""` We should probably either stick to the first format with `:` or the latter with `''`. The front end msw errors may also need to be updated after changes here.",enhancement; good first issue,1,1,2,True,2025-07-11,2025-10-20,101,https://github.com/ral-facilities/inventory-management-system-api/issues/564,0.958
Kotlin,Kotlin:100%,EinfachGustaf,minestom-base,EinfachGustaf/minestom-base,minestom; minestom-library,2,Implement `sdk.setPlayerCapacity()` and `sdk.playerConnect()` / `sdk.playerDisconnect()` for player tracking (optional but recommended).,,enhancement; good first issue,0,1,1,True,2025-10-03,2025-10-20,16,https://github.com/EinfachGustaf/minestom-base/issues/2,0.958
Kotlin,Kotlin:100%,EinfachGustaf,minestom-base,EinfachGustaf/minestom-base,minestom; minestom-library,2,Implement `sdk.setPlayerCapacity()` and `sdk.playerConnect()` / `sdk.playerDisconnect()` for player tracking (optional but recommended).,,enhancement; good first issue,0,1,1,True,2025-10-03,2025-10-20,16,https://github.com/EinfachGustaf/minestom-base/issues/2,0.958
Rust,Rust:100%,DTN-MTP,A-SABR,DTN-MTP/A-SABR,,16,Simplify control flow,"Use of options coupled with the current unwrapping strategy can render the code hard to follow. We should identify where guards could be more appropriate: ```rust fn main() { let option_1 = Some(42); let option_2 = Some(32); // with if.. if let Some(val_1) =option_1 { if let Some(val_2) = option_2 { // 2-block depth println!(""{val_1} {val_2}"") } } // val_1 & val_2 leave scope... // Use guards instead let Some(val_1) = option_1 else { return }; let Some(val_2) = option_2 else { return }; // and v",good first issue,0,0,1,True,2025-10-20,2025-10-20,0,https://github.com/DTN-MTP/A-SABR/issues/16,0.958
Python,Python:99.4%; HTML:0.4%; JavaScript:0.1%; CSS:0.1%,sumanth-0,100LinesOfPythonCode,sumanth-0/100LinesOfPythonCode,absolute-beginners; hacktoberfest-accepted; hacktoberfest-starter; hacktoberfest2024; collaborate; hacktoberfest; hacktoberfest2025,1288,Markdown to HTML Converter,Convert a Markdown file into a simple HTML page.,good first issue; hacktoberfest,1,0,2,True,2025-10-20,2025-10-20,0,https://github.com/sumanth-0/100LinesOfPythonCode/issues/1288,0.957
Java,Java:97.7%; HTML:1%; Shell:0.6%; Groovy:0.2%; ANTLR:0.2%; JavaScript:0.2%; CSS:0.1%,checkstyle,checkstyle,checkstyle/checkstyle,java; static-code-analysis; command-line-tool; static-analysis; code-quality; hacktoberfest,17882,Update `JavadocCommentsTokenTypes.java` to new format of AST print,"Continuation of https://github.com/checkstyle/checkstyle/issues/14631 We need to update the Javadoc of each token in [`JavadocCommentsTokenTypes.java`](https://github.com/checkstyle/checkstyle/blob/master/src/main/java/com/puppycrawl/tools/checkstyle/api/JavadocCommentsTokenTypes.java) to include an example of the **new AST print format** generated by the latest Checkstyle snapshot. Each update should document how the token appears in the Javadoc AST, providing both an example input and its corr",approved; miscellaneous; good first issue,18,0,11,True,2025-10-07,2025-10-20,12,https://github.com/checkstyle/checkstyle/issues/17882,0.957
Python,Python:100%,OpenEnergyPlatform,open-MaStR,OpenEnergyPlatform/open-MaStR,open-energy-family; oep; marktstammdatenregister; python; energy; energy-data; dataset; datasets; solar,657,consistent usage of logging instead of print,"## Description of the issue I would like to have a logfile created with all the output from the download call to open-mastr. Instead, this package is currently heavily using print instead. ## Ideas of solution Switch to logging where possible and add an option to silence the `tqdm`. ## Workflow checklist - [x] I am aware of the workflow in [CONTRIBUTING.md](https://github.com/OpenEnergyPlatform/open-MaStR/blob/production/CONTRIBUTING.md) ",:bug: bug; :recycle: refactor; good first issue,1,1,3,True,2025-08-13,2025-10-20,68,https://github.com/OpenEnergyPlatform/open-MaStR/issues/657,0.957
TypeScript,TypeScript:97.9%; CSS:1.6%; JavaScript:0.5%,ACM-VIT,Digital-Circuit-Simulator,ACM-VIT/Digital-Circuit-Simulator,forktober; hacktoberfest; hacktoberfest-accepted; hacktoberfest2025,17,feat: loader,a good state loader ,enhancement; good first issue; Hacktoberfest 2025; frontend,0,0,1,True,2025-10-20,2025-10-20,0,https://github.com/ACM-VIT/Digital-Circuit-Simulator/issues/17,0.957
Python,Python:99.4%; HTML:0.4%; JavaScript:0.1%; CSS:0.1%,sumanth-0,100LinesOfPythonCode,sumanth-0/100LinesOfPythonCode,absolute-beginners; hacktoberfest-accepted; hacktoberfest-starter; hacktoberfest2024; collaborate; hacktoberfest; hacktoberfest2025,1316,Tiny Resume Keyword Checker,Compare resume text with a job description and score keyword matches.,good first issue; hacktoberfest,0,0,1,True,2025-10-20,2025-10-20,0,https://github.com/sumanth-0/100LinesOfPythonCode/issues/1316,0.957
TypeScript,TypeScript:93.6%; JavaScript:3.8%; CSS:2%; HTML:0.6%,donos-do-jogo,almanaque-bot,donos-do-jogo/almanaque-bot,amplify; apostas-esportivas; aws; aws-lambda; chabot; react,8,configuração do WAF,,enhancement; good first issue,0,1,2,True,2025-10-20,2025-10-20,0,https://github.com/donos-do-jogo/almanaque-bot/issues/8,0.957
Python,Python:99.4%; HTML:0.4%; JavaScript:0.1%; CSS:0.1%,sumanth-0,100LinesOfPythonCode,sumanth-0/100LinesOfPythonCode,absolute-beginners; hacktoberfest-accepted; hacktoberfest-starter; hacktoberfest2024; collaborate; hacktoberfest; hacktoberfest2025,1369,Text Sentiment Graph,Visualize positive vs negative sentiment across multiple paragraphs.,good first issue; hacktoberfest,1,0,2,True,2025-10-20,2025-10-20,0,https://github.com/sumanth-0/100LinesOfPythonCode/issues/1369,0.957
,,MikeJohnnyP,scrum_manager,MikeJohnnyP/scrum_manager,,1,Overview UI,,good first issue; task,0,1,1,True,2025-10-20,2025-10-20,0,https://github.com/MikeJohnnyP/scrum_manager/issues/1,0.957
,,Peerstack-Academy,PageStructure,Peerstack-Academy/PageStructure,,45,fullsitebyfiruza,,good first issue,1,1,1,True,2025-10-15,2025-10-20,5,https://github.com/Peerstack-Academy/PageStructure/issues/45,0.957
C#,C#:100%,22130220,maui-frontend,22130220/maui-frontend,,13,Bình luận,,good first issue; feature,0,0,1,True,2025-10-20,2025-10-20,0,https://github.com/22130220/maui-frontend/issues/13,0.957
C#,C#:100%,22130220,maui-frontend,22130220/maui-frontend,,12,Mua hàng,,good first issue; feature,0,0,1,True,2025-10-20,2025-10-20,0,https://github.com/22130220/maui-frontend/issues/12,0.957
C#,C#:100%,22130220,maui-frontend,22130220/maui-frontend,,10,Giỏ hàng,,good first issue; feature,0,0,1,True,2025-10-20,2025-10-20,0,https://github.com/22130220/maui-frontend/issues/10,0.957
C#,C#:100%,22130220,maui-frontend,22130220/maui-frontend,,9,Danh sách sản sản phẩm,,good first issue; feature,0,0,1,True,2025-10-20,2025-10-20,0,https://github.com/22130220/maui-frontend/issues/9,0.957
Python,Python:99.4%; HTML:0.4%; JavaScript:0.1%; CSS:0.1%,sumanth-0,100LinesOfPythonCode,sumanth-0/100LinesOfPythonCode,absolute-beginners; hacktoberfest-accepted; hacktoberfest-starter; hacktoberfest2024; collaborate; hacktoberfest; hacktoberfest2025,1349,Random Quote Fetcher,Fetch quotes and display them with author names.,good first issue; hacktoberfest,1,1,2,True,2025-10-20,2025-10-20,0,https://github.com/sumanth-0/100LinesOfPythonCode/issues/1349,0.957
Python,Python:99.4%; HTML:0.4%; JavaScript:0.1%; CSS:0.1%,sumanth-0,100LinesOfPythonCode,sumanth-0/100LinesOfPythonCode,absolute-beginners; hacktoberfest-accepted; hacktoberfest-starter; hacktoberfest2024; collaborate; hacktoberfest; hacktoberfest2025,1364,Tweet Topic Classifier,"Categorize tweets into “Sports”, “Politics”, or “Entertainment”.",good first issue; hacktoberfest,1,1,2,True,2025-10-20,2025-10-20,0,https://github.com/sumanth-0/100LinesOfPythonCode/issues/1364,0.957
Python,Python:99.4%; HTML:0.4%; JavaScript:0.1%; CSS:0.1%,sumanth-0,100LinesOfPythonCode,sumanth-0/100LinesOfPythonCode,absolute-beginners; hacktoberfest-accepted; hacktoberfest-starter; hacktoberfest2024; collaborate; hacktoberfest; hacktoberfest2025,1373,Joke Classifier,"Classify jokes into “pun”, “dark”, or “dad joke” categories.",good first issue; hacktoberfest,2,1,2,True,2025-10-20,2025-10-20,0,https://github.com/sumanth-0/100LinesOfPythonCode/issues/1373,0.957
Python,Python:99.4%; HTML:0.4%; JavaScript:0.1%; CSS:0.1%,sumanth-0,100LinesOfPythonCode,sumanth-0/100LinesOfPythonCode,absolute-beginners; hacktoberfest-accepted; hacktoberfest-starter; hacktoberfest2024; collaborate; hacktoberfest; hacktoberfest2025,1382,Grammar Fixer,Fix basic capitalization and punctuation in text.,good first issue; hacktoberfest,1,1,2,True,2025-10-20,2025-10-20,0,https://github.com/sumanth-0/100LinesOfPythonCode/issues/1382,0.957
,,gccci,randomCatFacts,gccci/randomCatFacts,,597,Some Issue,Let's Fix IT,good first issue,0,0,1,True,2025-10-20,2025-10-20,0,https://github.com/gccci/randomCatFacts/issues/597,0.957
Python,Python:99.4%; HTML:0.4%; JavaScript:0.1%; CSS:0.1%,sumanth-0,100LinesOfPythonCode,sumanth-0/100LinesOfPythonCode,absolute-beginners; hacktoberfest-accepted; hacktoberfest-starter; hacktoberfest2024; collaborate; hacktoberfest; hacktoberfest2025,1367,Fake Comment Generator,Generate fake funny comments for a video or post.,good first issue; hacktoberfest,0,0,1,True,2025-10-20,2025-10-20,0,https://github.com/sumanth-0/100LinesOfPythonCode/issues/1367,0.957
Python,Python:99.4%; HTML:0.4%; JavaScript:0.1%; CSS:0.1%,sumanth-0,100LinesOfPythonCode,sumanth-0/100LinesOfPythonCode,absolute-beginners; hacktoberfest-accepted; hacktoberfest-starter; hacktoberfest2024; collaborate; hacktoberfest; hacktoberfest2025,1365,Auto Hashtag Generator,Suggest hashtags for a given social media caption.,good first issue; hacktoberfest,0,0,1,True,2025-10-20,2025-10-20,0,https://github.com/sumanth-0/100LinesOfPythonCode/issues/1365,0.957
Python,Python:99.4%; HTML:0.4%; JavaScript:0.1%; CSS:0.1%,sumanth-0,100LinesOfPythonCode,sumanth-0/100LinesOfPythonCode,absolute-beginners; hacktoberfest-accepted; hacktoberfest-starter; hacktoberfest2024; collaborate; hacktoberfest; hacktoberfest2025,1351,Country Info Explorer,"Fetch and display capital, population, and currency info.",good first issue; hacktoberfest,0,0,1,True,2025-10-20,2025-10-20,0,https://github.com/sumanth-0/100LinesOfPythonCode/issues/1351,0.957
